Augmented state vector at time 0.05500: 7.1948323678 , 11.8774241332 , 2.9767290395 , 1.1021213874 , 2.0466515230 , 0.5631482881 , 0.7604023703 , 1.7354977818 , 0.5734599477 , -0.1492339731 , -0.4608240769 , 0.7025918374
Augmented state vector at time 0.05600: 7.2714753479 , 12.1690800871 , 3.0516362306 , 1.1174343973 , 2.0870115910 , 0.5891360963 , 0.7760884212 , 1.7617858715 , 0.5930117183 , -0.1542666944 , -0.4717817369 , 0.6946001953
Augmented state vector at time 0.05700: 7.3515504268 , 12.4631754134 , 3.1293217119 , 1.1331472542 , 2.1276583237 , 0.6159924035 , 0.7919458271 , 1.7884587535 , 0.6132338269 , -0.1593949366 , -0.4829252997 , 0.6864165532
Augmented state vector at time 0.05800: 7.4350427097 , 12.7598180254 , 3.2098816930 , 1.1492581471 , 2.1685897089 , 0.6437464554 , 0.8079779123 , 1.8155083246 , 0.6341500940 , -0.1646201523 , -0.4942569898 , 0.6780323154
Augmented state vector at time 0.05900: 7.5219392282 , 13.0591129084 , 3.2934162531 , 1.1657652528 , 2.2098026081 , 0.6724283910 , 0.8241878143 , 1.8429258186 , 0.6557849262 , -0.1699438044 , -0.5057787995 , 0.6694385908
Augmented state vector at time 0.06000: 7.6122288622 , 13.3611620836 , 3.3800294010 , 1.1826667179 , 2.2512927039 , 0.7020692440 , 0.8405784762 , 1.8707017579 , 0.6781633229 , -0.1753673626 , -0.5174924766 , 0.6606261854
Augmented state vector at time 0.06100: 7.7059022638 , 13.6660645628 , 3.4698291372 , 1.1999606404 , 2.2930544454 , 0.7327009434 , 0.8571526378 , 1.8988259043 , 0.7013108836 , -0.1808922987 , -0.5293995114 , 0.6515855953
Augmented state vector at time 0.06200: 7.8029517808 , 13.9739162941 , 3.5629275192 , 1.2176450497 , 2.3350809898 , 0.7643563129 , 0.8739128268 , 1.9272872061 , 0.7252538119 , -0.1865200827 , -0.5415011231 , 0.6423070003
Augmented state vector at time 0.06300: 7.9033713805 , 14.2848100971 , 3.6594407291 , 1.2357178878 , 2.3773641409 , 0.7970690690 , 0.8908613483 , 1.9560737439 , 0.7500189195 , -0.1922521785 , -0.5537982441 , 0.6327802573
Augmented state vector at time 0.06400: 8.0071565739 , 14.5988355888 , 3.7594891440 , 1.2541769874 , 2.4198942853 , 0.8308738174 , 0.9080002742 , 1.9851726742 , 0.7756336274 , -0.1980900389 , -0.5662915042 , 0.6229948938
Augmented state vector at time 0.06500: 8.1143043396 , 14.9160790993 , 3.8631974069 , 1.2730200519 , 2.4626603238 , 0.8658060468 , 0.9253314323 , 2.0145701703 , 0.8021259656 , -0.2040351014 , -0.5789812132 , 0.6129401017
Augmented state vector at time 0.06600: 8.2248130479 , 15.2366235761 , 3.9706945004 , 1.2922446324 , 2.5056496008 , 0.9019021218 , 0.9428563934 , 2.0442513609 , 0.8295245707 , -0.2100887828 , -0.5918673421 , 0.6026047322
Augmented state vector at time 0.06700: 8.3386823837 , 15.5605484790 , 4.0821138202 , 1.3118481050 , 2.5488478296 , 0.9391992720 , 0.9605764587 , 2.0742002668 , 0.8578586815 , -0.2162524742 , -0.6049495038 , 0.5919772899
Augmented state vector at time 0.06800: 8.4559132698 , 15.8879296627 , 4.1975932497 , 1.3318276474 , 2.5922390142 , 0.9777355793 , 0.9784926458 , 2.1043997342 , 0.8871581318 , -0.2225275353 , -0.6182269316 , 0.5810459283
Augmented state vector at time 0.06900: 8.5765077886 , 16.2188392482 , 4.3172752348 , 1.3521802139 , 2.6358053680 , 1.0175499623 , 0.9966056742 , 2.1348313663 , 0.9174533406 , -0.2289152891 , -0.6316984572 , 0.5697984452
Augmented state vector at time 0.07000: 8.7004691039 , 16.5533454832 , 4.4413068581 , 1.3729025102 , 2.6795272284 , 1.0586821566 , 1.0149159493 , 2.1654754520 , 0.9487752999 , -0.2354170156 , -0.6453624871 , 0.5582222794
Augmented state vector at time 0.07100: 8.8278013805 , 16.8915125892 , 4.5698399119 , 1.3939909665 , 2.7233829683 , 1.1011726919 , 1.0334235467 , 2.1963108922 , 0.9811555590 , -0.2420339457 , -0.6592169776 , 0.5463045073
Augmented state vector at time 0.07200: 8.9585097034 , 17.2334005974 , 4.7030309710 , 1.4154417103 , 2.7673489036 , 1.1450628656 , 1.0521281939 , 2.2273151232 , 1.0146262053 , -0.2487672544 , -0.6732594085 , 0.5340318411
Augmented state vector at time 0.07300: 9.0925999952 , 17.5790651706 , 4.8410414619 , 1.4372505373 , 2.8113991973 , 1.1903947116 , 1.0710292528 , 2.2584640381 , 1.0492198423 , -0.2556180543 , -0.6874867552 , 0.5213906268
Augmented state vector at time 0.07400: 9.2300789320 , 17.9285574133 , 4.9840377307 , 1.4594128826 , 2.8555057599 , 1.2372109640 , 1.0901256997 , 2.2897319047 , 1.0849695625 , -0.2625873880 , -0.7018954595 , 0.5083668446
Augmented state vector at time 0.07500: 9.3709538577 , 18.2819236673 , 5.1321911074 , 1.4819237887 , 2.8996381461 , 1.2855550164 , 1.1094161053 , 2.3210912821 , 1.1219089176 , -0.2696762206 , -0.7164813991 , 0.4949461090
Augmented state vector at time 0.07600: 9.5152326954 , 18.6392052942 , 5.2856779664 , 1.5047778745 , 2.9437634483 , 1.3354708757 , 1.1288986133 , 2.3525129336 , 1.1600718829 , -0.2768854319 , -0.7312398553 , 0.4811136706
Augmented state vector at time 0.07700: 9.6629238582 , 19.0004384434 , 5.4446797822 , 1.5279693014 , 2.9878461862 , 1.3870031089 , 1.1485709178 , 2.3839657375 , 1.1994928173 , -0.2842158077 , -0.7461654794 , 0.4668544197
Augmented state vector at time 0.07800: 9.8140361562 , 19.3656538060 , 5.6093831801 , 1.5514917394 , 3.0318481936 , 1.4401967848 , 1.1684302401 , 2.4154165962 , 1.2402064188 , -0.2916680312 , -0.7612522571 , 0.4521528908
Augmented state vector at time 0.07900: 9.9685787017 , 19.7348763535 , 5.7799799805 , 1.5753383307 , 3.0757285008 , 1.4950974078 , 1.1884733037 , 2.4468303416 , 1.2822476733 , -0.2992426738 , -0.7764934722 , 0.4369932686
